"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","623","TC005 - Partial update booking","tests","2026-07-10","passed","2026-07-10","TestBooking","test_booking","",""
"","662","TC004 - Update booking","tests","2026-07-10","passed","2026-07-10","TestBooking","test_booking","",""
"","305","TC002 - Get token with invalid credentials","tests","2026-07-10","passed","2026-07-10","TestAuth","test_auth","",""
"","314","TC002 - Create new booking","tests","2026-07-10","passed","2026-07-10","TestBooking","test_booking","",""
"","624","TC003 - Get booking by ID","tests","2026-07-10","passed","2026-07-10","TestBooking","test_booking","",""
"","327","TC001 - Get all bookings","tests","2026-07-10","passed","2026-07-10","TestBooking","test_booking","",""
"","322","TC001 - Get token with valid credentials","tests","2026-07-10","passed","2026-07-10","TestAuth","test_auth","",""
"","610","TC006 - Delete booking","tests","2026-07-10","passed","2026-07-10","TestBooking","test_booking","",""
